Strategy,Across-Prompt Distinct-2,Within-Prompt Distinct-2
Greedy,0.9155555555555556,0.16521739130434782
Beam (B=3),0.9426605504587156,0.18225806451612903
Top-K (K=50),0.9075268817204301,0.2376237623762376
Top-P (P=0.9),0.9246119733924612,0.21480406386066764
